Time;PE1MAX;PE1MIN;PE2MAX;PE2MIN;PEEQMAX;PEEQMIN
0;0;0;0;0;0;0
0.0001;0;0;0;0;0;0
0.0002;0;0;0;0;0;0
0.0003;0;0;0;0;0;0
0.0004;0;0;0;0;0;0
0.0005;0;0;0;0;0;0
0.0006;0;0;0;0;0;0
0.0007;0;0;0;0;0;0
0.0008;0;0;0;0;0;0
0.0009;0;0;0;0;0;0
0.001;0;0;0;0;0;0
0.0011;0;0;0;0;0;0
0.0012;0;0;0;0;0;0
0.0013;0;0;0;0;0;0
0.0014;0;0;0;0;0;0
0.0015;0;0;0;0;0;0
0.0016;0;0;0;0;0;0
0.0017;0;0;0;0;0;0
0.0018;0;0;0;0;0;0
0.0019;0;0;0;0;0;0
0.002;0;0;0;0;0;0
0.0021;0;0;0;0;0;0
0.0022;0;0;0;0;0;0
0.0023;0;0;0;0;0;0
0.0024;0;0;0;0;0;0
0.0025;0;0;0;0;0;0
0.0026;0;0;0;0;0;0
0.0027;0;0;0;0;0;0
0.0028;0;0;0;0;0;0
0.0029;0;0;0;0;0;0
0.003;0;0;0;0;0;0
0.0031;0;0;0;0;0;0
0.0032;0;0;0;0;0;0
0.0033;0;0;0;0;0;0
0.0034;0;0;0;0;0;0
0.0035;0;0;0;0;0;0
0.0036;0;0;0;0;0;0
0.0037;0;0;0;0;0;0
0.0038;0;0;0;0;0;0
0.0039;0;0;0;0;0;0
0.004;0;0;0;0;0;0
0.0041;0;0;0;0;0;0
0.0042;0;0;0;0;0;0
0.0043;0;0;0;0;0;0
0.0044;0;0;0;0;0;0
0.0045;0;0;0;0;0;0
0.0046;0;0;0;0;0;0
0.0047;0;0;0;0;0;0
0.0048;0;0;0;0;0;0
0.0049;0;0;0;0;0;0
0.005;0;0;0;0;0;0
0.0051;0;0;0;0;0;0
0.0052;0;0;0;0;0;0
0.0053;0;0;0;0;0;0
0.0054;0;0;0;0;0;0
0.0055;0;0;0;0;0;0
0.0056;0;0;0;0;0;0
0.0057;0;0;0;0;0;0
0.0058;0;3.98E-08;0;-3.72E-08;0;4.46E-08
0.0059;0;4.42E-06;0;-4.13E-06;0;4.94E-06
0.006;0;3.12E-05;0;-2.91E-05;0;3.48E-05
0.0061;1.34E-07;7.61E-05;-1.16E-07;-7.10E-05;1.45E-07;8.51E-05
0.0061;1.34E-07;7.61E-05;-1.16E-07;-7.10E-05;1.45E-07;8.51E-05
0.00619125;4.62E-06;1.28E-04;-4.03E-06;-1.20E-04;5.03E-06;0.000143713
0.00685887;0.000527827;0.000691442;-0.000458927;-0.0006464;0.000573854;0.000773716
0.0106849;0.00362582;0.00384411;-0.00312865;-0.00360665;0.00393129;0.00430826
0.0156849;0.00728645;0.00754822;-0.00625375;-0.00710065;0.0078855;0.0084694
0.0206849;0.011228;0.0115327;-0.00960006;-0.0108672;0.0121351;0.0129499
0.0256849;0.015347;0.0156898;-0.0130856;-0.0147924;0.0165712;0.0176221
0.0306849;0.0194967;0.0198842;-0.0165915;-0.0187487;0.0210381;0.0223342
0.0356849;0.0238534;0.0242846;-0.0202696;-0.0228915;0.0257268;0.027274
0.0406849;0.0280781;0.0285585;-0.0238354;-0.0269105;0.0302734;0.0320696
0.0456849;0.0324696;0.0330032;-0.0275418;-0.0310849;0.0349997;0.0370547
0.0506849;0.0368536;0.0374459;-0.0312426;-0.0352517;0.0397187;0.0420351
0.0556849;0.0413811;0.0420375;-0.0350653;-0.0395515;0.0445929;0.0471796
0.0606849;0.0458626;0.0465882;-0.0388502;-0.0438076;0.0494186;0.0522762
0.0656849;0.050442;0.05124;-0.0427188;-0.0481528;0.0543509;0.0574841
